start_time,hour,dayofweek,is_weekend,total_grid_load_mwh,photovoltaics_mwh,wind_onshore_mwh,wind_offshore_mwh,total_renewables_mwh,residual_load_mwh,renewable_share,day_ahead_price_eur_mwh,is_negative_price
06/08/2026,0,3,0,41352.29,0,15894.47,5473.2,21367.67,19984.62,0.5167,52.99,0
06/08/2026,1,3,0,41066.03,0,17593.64,5981,23574.64,17491.39,0.5741,42.87,0
06/08/2026,2,3,0,42235.01,0,20074.01,7517.24,27591.25,14643.76,0.6533,32.29,0
06/08/2026,3,3,0,40825.95,0,21141.86,8005.66,29147.52,11678.43,0.7139,27.06,0
06/08/2026,4,3,0,42489.9,0,16154.17,5229.56,21383.73,21106.17,0.5033,67.72,0
06/08/2026,5,3,0,39956.9,0,18279.23,5937.08,24216.31,15740.59,0.6061,44.72,0
06/08/2026,6,3,0,43234.99,8196.87,22856.69,7779.8,38833.36,4401.63,0.8982,2.9,0
06/08/2026,7,3,0,46708.22,21031.62,23705.25,6455.3,51192.17,-4483.95,1.096,-18.35,1
06/08/2026,8,3,0,50307.24,27842.6,24454.32,7346.86,59643.78,-9336.54,1.1856,-28.85,1
06/08/2026,9,3,0,54492.94,36117.68,33428.06,12000,81545.74,-27052.8,1.4964,-86.38,1
06/08/2026,10,3,0,57854.98,32701.94,25727.63,10320.64,68750.21,-10895.23,1.1883,-41.05,1
06/08/2026,11,3,0,58672.06,48713.93,27510.93,9429.6,85654.46,-26982.4,1.4599,-94.8,1
06/08/2026,12,3,0,55790.95,47987.17,27290.8,10013.03,85291,-29500.05,1.5288,-95.21,1
06/08/2026,13,3,0,55919.32,38078.43,26626.87,9568.41,74273.71,-18354.39,1.3282,-62.33,1
06/08/2026,14,3,0,55106.62,34793.87,24160.33,10919.22,69873.42,-14766.8,1.268,-48.45,1
06/08/2026,15,3,0,53345.02,30210.77,26654.24,10224.64,67089.65,-13744.63,1.2577,-46.71,1
06/08/2026,16,3,0,50621.19,25177.2,22494.02,7770.57,55441.79,-4820.6,1.0952,-16.77,1
06/08/2026,17,3,0,45270.21,18898.45,23368.96,7414.7,49682.11,-4411.9,1.0975,-24.22,1
06/08/2026,18,3,0,42224.12,9394.84,22154.82,6469.03,38018.69,4205.43,0.9004,12.68,0
06/08/2026,19,3,0,41093.54,0,22860.86,8164.07,31024.93,10068.61,0.755,24.7,0
06/08/2026,20,3,0,41266.18,0,27621.66,9062.5,36684.16,4582.02,0.889,18.02,0
06/08/2026,21,3,0,40312.01,0,16248.28,4549.09,20797.37,19514.64,0.5159,49.1,0
06/08/2026,22,3,0,40892.12,0,21629.2,7052.96,28682.16,12209.96,0.7014,39.8,0
06/08/2026,23,3,0,40377.98,0,14808.84,4317.85,19126.69,21251.29,0.4737,59.37,0
07/08/2026,0,4,0,40828.95,0,16533.14,7136.31,23669.45,17159.5,0.5797,42.01,0
07/08/2026,1,4,0,43264.37,0,19269.02,7449.47,26718.49,16545.88,0.6176,41.03,0
07/08/2026,2,4,0,40860.72,0,15518.98,5425.26,20944.24,19916.48,0.5126,52.38,0
07/08/2026,3,4,0,45158.86,0,11470.45,5198.61,16669.06,28489.8,0.3691,83.05,0
07/08/2026,4,4,0,42591.98,0,11194.98,3980.14,15175.12,27416.86,0.3563,80.27,0
07/08/2026,5,4,0,42221.8,0,13529.41,4046.27,17575.68,24646.12,0.4163,65.65,0
07/08/2026,6,4,0,40969.97,9957.51,8896.85,4332.4,23186.76,17783.21,0.5659,47.39,0
07/08/2026,7,4,0,46981.48,16685.24,10217.21,4007.15,30909.6,16071.88,0.6579,54.01,0
07/08/2026,8,4,0,49309.23,23029.68,8819.18,2256.92,34105.78,15203.45,0.6917,49.03,0
07/08/2026,9,4,0,53460.12,38828.84,6195.14,2016.03,47040.01,6420.11,0.8799,14.7,0
07/08/2026,10,4,0,58928.51,44962.94,12405.17,3641.31,61009.42,-2080.91,1.0353,-13.84,1
07/08/2026,11,4,0,57339.54,46446.46,7964.64,1681.38,56092.48,1247.06,0.9783,-3.07,1
07/08/2026,12,4,0,59379.13,40386.44,3000,1011.97,44398.41,14980.72,0.7477,42.21,0
07/08/2026,13,4,0,56611,36468.62,5891.33,3589.5,45949.45,10661.55,0.8117,19.83,0
07/08/2026,14,4,0,55814.42,41312.09,3495.16,800,45607.25,10207.17,0.8171,22.63,0
07/08/2026,15,4,0,55438.67,33101.33,7145.53,2951.31,43198.17,12240.5,0.7792,21.17,0
07/08/2026,16,4,0,49247.64,23541.32,3040.27,800,27381.59,21866.05,0.556,62.38,0
07/08/2026,17,4,0,48316.04,18713.64,4884.07,1319.73,24917.44,23398.6,0.5157,68.5,0
07/08/2026,18,4,0,42849.3,8120.94,6722.81,1879.07,16722.82,26126.48,0.3903,70.73,0
07/08/2026,19,4,0,41325.04,0,8050.11,2126.35,10176.46,31148.58,0.2463,97.62,0
07/08/2026,20,4,0,42758.89,0,3440.26,1242.91,4683.17,38075.72,0.1095,103.69,0
07/08/2026,21,4,0,43167.07,0,6282.01,1533.94,7815.95,35351.12,0.1811,93.93,0
07/08/2026,22,4,0,42746.17,0,6720.48,2568.53,9289.01,33457.16,0.2173,97.35,0
07/08/2026,23,4,0,40115.73,0,7165.19,2467.63,9632.82,30482.91,0.2401,92.66,0
08/08/2026,0,5,1,31887.44,0,14191.2,4775.76,18966.96,12920.48,0.5948,41.72,0
08/08/2026,1,5,1,32462.98,0,11843.49,3419.17,15262.66,17200.32,0.4702,43.2,0
08/08/2026,2,5,1,32670.68,0,8791.72,2615.69,11407.41,21263.27,0.3492,64.25,0
08/08/2026,3,5,1,33504.81,0,15395.03,5992.57,21387.6,12117.21,0.6383,29.75,0
08/08/2026,4,5,1,32973.24,0,19589.29,7256.99,26846.28,6126.96,0.8142,10.44,0
08/08/2026,5,5,1,31157.59,0,18058.79,5538.53,23597.32,7560.27,0.7574,20.7,0
08/08/2026,6,5,1,33216.24,9926.61,12866.12,4582.61,27375.34,5840.9,0.8242,14.09,0
08/08/2026,7,5,1,36722.76,21379.62,16617.16,6417.12,44413.9,-7691.14,1.2094,-40.11,1
08/08/2026,8,5,1,39671.75,23240.14,22117.92,6405.75,51763.81,-12092.06,1.3048,-36.96,1
08/08/2026,9,5,1,42881.63,30352.38,18248.06,6821.51,55421.95,-12540.32,1.2924,-38.88,1
08/08/2026,10,5,1,44568.7,33021.66,22121.87,7212.55,62356.08,-17787.38,1.3991,-66.18,1
08/08/2026,11,5,1,45365.77,39664.7,23858.3,8806.89,72329.89,-26964.12,1.5944,-89.01,1
08/08/2026,12,5,1,45155.8,41596.95,20415.15,6534.69,68546.79,-23390.99,1.518,-77.39,1
08/08/2026,13,5,1,42821.6,38906.86,23284.21,6705.57,68896.64,-26075.04,1.6089,-87,1
08/08/2026,14,5,1,44083.54,43186.88,15910.22,4266.54,63363.64,-19280.1,1.4374,-70.39,1
08/08/2026,15,5,1,41833.92,32162.4,21904.33,7704.98,61771.71,-19937.79,1.4766,-73.1,1
08/08/2026,16,5,1,39325.89,24967.93,24150.88,8660.59,57779.4,-18453.51,1.4692,-64.95,1
08/08/2026,17,5,1,34457.96,19010.54,21840.44,6920.7,47771.68,-13313.72,1.3864,-42.42,1
08/08/2026,18,5,1,31462.73,8462.32,29076.57,10687.67,48226.56,-16763.83,1.5328,-56.58,1
08/08/2026,19,5,1,34023.78,0,21313.38,6130.47,27443.85,6579.93,0.8066,10.76,0
08/08/2026,20,5,1,32712.53,0,23540.88,8186.44,31727.32,985.21,0.9699,-0.3,1
08/08/2026,21,5,1,33577.8,0,24582.7,7635.13,32217.83,1359.97,0.9595,-19.05,1
08/08/2026,22,5,1,32793.98,0,27341.97,9048.22,36390.19,-3596.21,1.1097,-12.43,1
08/08/2026,23,5,1,32795.71,0,19507.53,6865.55,26373.08,6422.63,0.8042,2.74,0
09/08/2026,0,6,1,33885.94,0,25248.09,8148.5,33396.59,489.35,0.9856,-8.08,1
09/08/2026,1,6,1,32140.75,0,21504.15,7218.81,28722.96,3417.79,0.8937,-3.16,1
09/08/2026,2,6,1,32875.34,0,18070.85,7129.83,25200.68,7674.66,0.7666,9.07,0
09/08/2026,3,6,1,32205.27,0,20647.2,6765.01,27412.21,4793.06,0.8512,13.64,0
09/08/2026,4,6,1,32238.6,0,18892.89,7281.07,26173.96,6064.64,0.8119,8.63,0
09/08/2026,5,6,1,32388.99,0,15749.61,4608.6,20358.21,12030.78,0.6286,31.6,0
09/08/2026,6,6,1,33026.56,9159.39,16247.51,6110.47,31517.37,1509.19,0.9543,-3.18,1
09/08/2026,7,6,1,35415.56,16343.76,13917.27,6024.3,36285.33,-869.77,1.0246,-7.67,1
09/08/2026,8,6,1,40506.91,30194.79,13973.6,2913.44,47081.83,-6574.92,1.1623,-27.56,1
09/08/2026,9,6,1,40511.16,35163.26,14173.06,4323.05,53659.37,-13148.21,1.3246,-55.42,1
09/08/2026,10,6,1,43343.75,36727.93,15346.07,5832.78,57906.78,-14563.03,1.336,-47.27,1
09/08/2026,11,6,1,44287.08,35989.7,7201.37,2358.04,45549.11,-1262.03,1.0285,-14.23,1
09/08/2026,12,6,1,46976.37,40478.15,14610.42,5410.56,60499.13,-13522.76,1.2879,-58.08,1
09/08/2026,13,6,1,45050.62,39662.64,3461.09,800,43923.73,1126.89,0.975,-6.46,1
09/08/2026,14,6,1,44806.21,41900.75,7120.22,2561.35,51582.32,-6776.11,1.1512,-20.35,1
09/08/2026,15,6,1,39802.02,35323.79,8235.74,2757.97,46317.5,-6515.48,1.1637,-23.12,1
09/08/2026,16,6,1,39320.46,30411.25,6850.06,3331.75,40593.06,-1272.6,1.0324,-13.46,1
09/08/2026,17,6,1,37057.62,18570.18,4099.62,1638.4,24308.2,12749.42,0.656,30,0
09/08/2026,18,6,1,32858.74,8393.97,4778.02,1942.39,15114.38,17744.36,0.46,45.64,0
09/08/2026,19,6,1,34038.58,0,3846.05,1016.62,4862.67,29175.91,0.1429,94.27,0
09/08/2026,20,6,1,32139.25,0,3526.77,844.28,4371.05,27768.2,0.136,80.58,0
09/08/2026,21,6,1,34451.22,0,7188.32,2169.87,9358.19,25093.03,0.2716,72.55,0
09/08/2026,22,6,1,35518.68,0,6162.6,2472.47,8635.07,26883.61,0.2431,81.41,0
